Branch,Department,Division,Item,Qty,Total Price,Total Cost,Total Cost %,Total Profit,Total Profit %
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CARAMEL CREAM FRAPP SMALL,292.0,66702.43,9491.94,14.23,57210.49,85.77
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CARAMEL FRAPP LARGE,593.0,193013.81,42481.32,22.01,150532.49,77.99
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CARAMEL FRAPP MEDIUM,1667.0,458855.86,118382.42,25.8,340473.43,74.2
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CARAMEL FRAPP SMALL,1184.0,277575.71,66746.01,24.05,210829.7,75.95
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAP SMALL,226.0,49990.84,11676.44,23.36,38314.4,76.64
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAPP LARGE,42.0,11769.34,2987.61,25.38,8781.73,74.62
Stories - Bir Hasan,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAPP MEDIUM,311.0,84577.54,21406.95,25.31,63170.59,74.69
Stories - Bir Hasan,Take Away,COLD BAR SECTION,COFFEE FRAPP LARGE,115.0,30809.13,6953.85,22.57,23855.28,77.43
Stories - Bir Hasan,Take Away,COLD BAR SECTION,COFFEE FRAPPE MEDIUM,157.0,36343.45,9132.28,25.13,27211.17,74.87
Stories - Bir Hasan,Take Away,COLD BAR SECTION,COFFEE FRAPPE SMALL,164.0,31709.01,7840.52,24.73,23868.49,75.27
Stories - Bir Hasan,Take Away,COLD BAR SECTION,COLD BREW BOTTLE,325.0,45426.43,13859.25,30.51,31567.18,69.49
Stories - Bir Hasan,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN LARGE,143.0,39785.59,10472.34,26.32,29313.24,73.68
Stories - Bir Hasan,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN MEDIUM,815.0,195503.38,41774.91,21.37,153728.48,78.63
Stories - Bir Hasan,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN SMALL,990.0,133767.93,31661.6,23.67,102106.33,76.33
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ESPRESSO FRAPP LARGE,93.0,24893.21,6447.57,25.9,18445.64,74.1
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ESPRESSO FRAPP MEDIUM,440.0,101969.82,24707.6,24.23,77262.22,75.77
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ESPRESSO FRAPP SMALL,314.0,58380.9,14379.42,24.63,44001.48,75.37
Stories - Bir Hasan,Take Away,COLD BAR SECTION,HAZELNUT FRAPP LARGE,5.0,1410.81,351.57,24.92,1059.24,75.08
Stories - Bir Hasan,Take Away,COLD BAR SECTION,HAZELNUT FRAPP MEDIUM,38.0,10200.36,2584.47,25.34,7615.89,74.66
Stories - Bir Hasan,Take Away,COLD BAR SECTION,HAZELNUT FRAPP SMALL,12.0,2838.68,652.46,22.98,2186.22,77.02
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED AMERICANO LARGE,86.0,23314.04,4228.11,18.14,19085.93,81.86
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED AMERICANO MEDIUM,277.0,65131.15,9828.61,15.09,55302.54,84.91
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED AMERICANO SMALL,275.0,51122.04,6074.54,11.88,45047.5,88.12
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO LARGE,285.0,90609.58,16627.27,18.35,73982.31,81.65
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO MEDIUM,1273.0,349945.71,64606.37,18.46,285339.34,81.54
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO SMALL,606.0,142672.61,19504.63,13.67,123167.98,86.33
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC LARGE,8.0,2521.62,488.18,19.36,2033.44,80.64
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC MEDIUM,41.0,11129.85,1866.28,16.77,9263.57,83.23
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC SMALL,30.0,6990.81,1161.65,16.62,5829.16,83.38
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24,211.5,26.43,588.74,73.57
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,1428.42,283.41,19.84,1145.01,80.16
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED LATTE LARGE,487.0,136147.51,23011.76,16.9,113135.75,83.1
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED LATTE MEDIUM,2048.0,485830.78,83965.16,17.28,401865.62,82.72
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED LATTE SMALL,1404.0,209897.12,34608.42,16.49,175288.7,83.51
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED LEMON TEA  MEDIUM,2.0,533.33,57.87,10.85,475.46,89.15
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED LEMON TEA  SMALL,6.0,1400.0,121.58,8.68,1278.42,91.32
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MATCHA LATTE LARGE,535.0,152128.65,42852.74,28.17,109275.91,71.83
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MATCHA LATTE MEDIUM,1198.0,289938.77,77315.46,26.67,212623.3,73.33
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MATCHA LATTE SMALL,685.0,137375.14,31323.08,22.8,106052.06,77.2
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MOCHA LARGE,53.0,16562.13,3339.47,20.16,13222.67,79.84
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MOCHA MEDIUM,266.0,72553.63,14049.1,19.36,58504.54,80.64
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED MOCHA SMALL,262.0,43218.65,8522.4,19.72,34696.25,80.28
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED PEACH TEA  MEDIUM,148.0,36160.96,7039.62,19.47,29121.34,80.53
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED PEACH TEA  SMALL,246.0,26173.48,8714.42,33.29,17459.07,66.71
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED PEACH TEA LARGE,51.0,14127.3,3124.12,22.11,11003.18,77.89
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE LARGE,47.0,15799.7,3460.68,21.9,12339.02,78.1
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE MEDIUM,221.0,61878.8,13664.17,22.08,48214.62,77.92
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE SMALL,110.0,25306.13,4362.1,17.24,20944.03,82.76
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED SPANISH LATTE MEDIUM,977.0,293712.65,54450.07,18.54,239262.58,81.46
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED SPANISH LATTE SMALL,510.0,121903.54,17965.98,14.74,103937.57,85.26
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE LARGE,14.0,4667.27,1089.97,23.35,3577.3,76.65
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE MEDIUM,86.0,23110.63,5728.76,24.79,17381.87,75.21
Stories - Bir Hasan,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE SMALL,29.0,6896.22,1313.02,19.04,5583.19,80.96
