Branch,Department,Division,Item,Qty,Total Price,Total Cost,Total Cost %,Total Profit,Total Profit %
Stories LAU,Toters,SANDWICHES,VEGGIE SUB,82.0,733.33,4932.04,672.55,-4198.71,-572.55
Stories LAU,Toters,SANDWICHES,Total By Division:,570.0,180095.8,60517.85,33.6,119577.94,66.4
Stories LAU,Toters,SUBS,ADD CHEDDAR CHEESE,1.0,73.33,3.58,4.88,69.75,95.12
Stories LAU,Toters,SUBS,ADD CHICKEN,7.0,933.33,624.93,66.96,308.4,33.04
Stories LAU,Toters,SUBS,ADD HALLOUM CHEESE,1.0,100.0,56.32,56.32,43.68,43.68
Stories LAU,Toters,SUBS,ADD SMOKED TURKEY,3.0,300.0,119.14,39.71,180.86,60.29
Stories LAU,Toters,SUBS,ADD TUNA,2.0,266.67,95.57,35.84,171.1,64.16
Stories LAU,Toters,SUBS,Total By Division:,14.0,1673.33,899.55,53.76,773.78,46.24
Stories LAU,Toters,SUBS,Total By Category:,20208.5,2103182.46,676766.81,32.18,1426415.65,67.82
Stories LAU,Toters,SUBS,Total By Department:,35390.5,4362215.65,1175532.27,26.95,3186683.38,73.05
Stories LAU,Toters,SUBS,Total By Branch:,131814.1,1544717.87,4573902.77,29.61,10873275.9,70.39
Stories Faqra,Take Away,COLD BAR SECTION,1 SHOT DECAFE,180.0,0.0,1718.4,0.0,-1718.4,100.0
Stories Faqra,Take Away,COLD BAR SECTION,2 SHOT DECAFE,236.0,0.0,4506.03,0.0,-4506.03,100.0
Stories Faqra,Take Away,COLD BAR SECTION,3 SHOT DECAFE,40.0,0.0,1145.6,0.0,-1145.6,100.0
Stories Faqra,Take Away,COLD BAR SECTION,ADD BANANA SAUCE MEDIUM,6.0,200.0,104.98,52.49,95.02,47.51
Stories Faqra,Take Away,COLD BAR SECTION,ADD BANANA SAUCE SMALL,9.0,300.0,157.47,52.49,142.53,47.51
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL DRIZZLE,355.0,11920.72,1191.47,9.99,10729.25,90.01
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL LARGE,73.0,2527.03,627.42,24.83,1899.6,75.17
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL MEDIUM,782.0,26617.12,6110.15,22.96,20506.97,77.04
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL SF LARGE,48.0,1658.56,630.08,37.99,1028.48,62.01
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL SF MEDIUM,264.0,8952.25,2599.08,29.03,6353.17,70.97
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL SF SMALL,199.0,6552.25,1306.1,19.93,5246.15,80.07
Stories Faqra,Take Away,COLD BAR SECTION,ADD CARAMEL SMALL,510.0,15959.46,2656.59,16.65,13302.87,83.35
Stories Faqra,Take Away,COLD BAR SECTION,ADD CHOCOLATE DRIZZLE,119.0,3990.09,392.39,9.83,3597.7,90.17
Stories Faqra,Take Away,COLD BAR SECTION,ADD HAZELNUT LARGE,12.0,400.0,129.95,32.49,270.05,67.51
Stories Faqra,Take Away,COLD BAR SECTION,ADD HAZELNUT MEDIUM,91.0,3056.76,895.89,29.31,2160.86,70.69
Stories Faqra,Take Away,COLD BAR SECTION,ADD HAZELNUT SMALL,39.0,1313.51,255.97,19.49,1057.54,80.51
Stories Faqra,Take Away,COLD BAR SECTION,ADD MOCHA MEDIUM,17.0,578.38,252.25,43.61,326.13,56.39
Stories Faqra,Take Away,COLD BAR SECTION,ADD MOCHA SMALL,9.0,300.0,89.03,29.68,210.97,70.32
Stories Faqra,Take Away,COLD BAR SECTION,ADD RASPBERRY SAUCE MEDIUM,12.0,400.0,189.15,47.29,210.85,52.71
Stories Faqra,Take Away,COLD BAR SECTION,ADD RASPBERRY SAUCE SMALL,17.0,566.67,267.97,47.29,298.7,52.71
Stories Faqra,Take Away,COLD BAR SECTION,ADD SHOT,2051.0,57882.88,18172.89,31.4,39710.0,68.6
Stories Faqra,Take Away,COLD BAR SECTION,ADD TOFFEE NUT MEDIUM,2.0,66.67,31.92,47.89,34.74,52.11
Stories Faqra,Take Away,COLD BAR SECTION,ADD TOFFEE NUT SMALL,4.0,133.33,47.89,35.91,85.45,64.09
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA LARGE,288.0,10021.62,3300.42,32.93,6721.2,67.07
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA MEDIUM,781.0,26888.29,6102.34,22.7,20785.95,77.3
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA SF LARGE,123.0,4287.39,1776.04,41.42,2511.35,58.58
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA SF MEDIUM,696.0,23972.97,6852.12,28.58,17120.85,71.42
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA SF SMALL,341.0,11762.16,2238.1,19.03,9524.07,80.97
Stories Faqra,Take Away,COLD BAR SECTION,ADD VANILLA SMALL,591.0,18976.58,3078.52,16.22,15898.06,83.78
Stories Faqra,Take Away,COLD BAR SECTION,ADD WHIPPED CREAM,120.0,4035.14,1063.26,26.35,2971.88,73.65
Stories Faqra,Take Away,COLD BAR SECTION,ADD WHITE MOCHA LARGE,55.0,1891.89,472.56,24.98,1419.33,75.02
Stories Faqra,Take Away,COLD BAR SECTION,ADD WHITE MOCHA MEDIUM,461.0,15401.8,2970.68,19.29,12431.12,80.71
Stories Faqra,Take Away,COLD BAR SECTION,ADD WHITE MOCHA SMALL,912.0,13980.18,3917.95,28.03,10062.23,71.97
Stories Faqra,Take Away,COLD BAR SECTION,ADD YIRGACHEFFE SHOT,42.0,1411.71,400.96,28.4,1010.75,71.6
Stories Faqra,Take Away,COLD BAR SECTION,BLUE NADE,63.0,16800.0,4240.43,25.24,12559.57,74.76
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL CREAM  FRAPP LARGE,31.0,10846.49,1989.2,18.34,8857.29,81.66
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL CREAM  FRAPP MEDIUM,165.0,49189.19,7010.38,14.25,42178.81,85.75
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL CREAM FRAPP SMALL,122.0,31581.98,3965.81,12.56,27616.17,87.44
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL FRAPP LARGE,136.0,44476.04,9742.77,21.91,34733.27,78.09
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL FRAPP MEDIUM,698.0,193138.74,49568.65,25.66,143570.09,74.34
Stories Faqra,Take Away,COLD BAR SECTION,CARAMEL FRAPP SMALL,382.0,90800.9,21534.61,23.72,69266.29,76.28
Stories Faqra,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAP SMALL,113.0,29263.96,5838.22,19.95,23425.74,80.05
Stories Faqra,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAPP LARGE,25.0,7816.22,1778.34,22.75,6037.88,77.25
Stories Faqra,Take Away,COLD BAR SECTION,CHOCOLATE CREAM FRAPP MEDIUM,151.0,44807.21,10393.73,23.2,34413.48,76.8
Stories Faqra,Take Away,COLD BAR SECTION,COFFEE FRAPP LARGE,18.0,4893.69,1088.43,22.24,3805.27,77.76
Stories Faqra,Take Away,COLD BAR SECTION,COFFEE FRAPPE MEDIUM,104.0,24512.61,6049.41,24.68,18463.2,75.32
Stories Faqra,Take Away,COLD BAR SECTION,COFFEE FRAPPE SMALL,53.0,11021.62,2533.83,22.99,8487.79,77.01
Stories Faqra,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN LARGE,30.0,8129.73,2197.0,27.02,5932.73,72.98
Stories Faqra,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN MEDIUM,404.0,96982.7,20708.05,21.35,76274.65,78.65
Stories Faqra,Take Away,COLD BAR SECTION,DOUBLE SHOT SHAKEN SMALL,585.0,50794.59,18709.13,36.83,32085.47,63.17
Stories Faqra,Take Away,COLD BAR SECTION,ESPRESSO FRAPP LARGE,7.0,2054.05,485.3,23.63,1568.75,76.37
Stories Faqra,Take Away,COLD BAR SECTION,ESPRESSO FRAPP MEDIUM,71.0,17140.54,3986.91,23.26,13153.63,76.74
Stories Faqra,Take Away,COLD BAR SECTION,ESPRESSO FRAPP SMALL,59.0,12372.97,2701.87,21.84,9671.11,78.16
Stories Faqra,Take Away,COLD BAR SECTION,HAZELNUT FRAPP LARGE,1.0,300.0,70.31,23.44,229.69,76.56
Stories Faqra,Take Away,COLD BAR SECTION,HAZELNUT FRAPP MEDIUM,3.0,800.0,204.04,25.5,595.96,74.5
Stories Faqra,Take Away,COLD BAR SECTION,HAZELNUT FRAPP SMALL,2.0,466.67,108.74,23.3,357.92,76.7
Stories Faqra,Take Away,COLD BAR SECTION,ICED AMERICANO LARGE,19.0,5492.25,934.12,17.01,4558.13,82.99
Stories Faqra,Take Away,COLD BAR SECTION,ICED AMERICANO MEDIUM,224.0,54063.24,7948.05,14.7,46115.2,85.3
Stories Faqra,Take Away,COLD BAR SECTION,ICED AMERICANO SMALL,165.0,33903.24,3644.72,10.75,30258.52,89.25
Stories Faqra,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO LARGE,86.0,26507.21,5017.35,18.93,21489.85,81.07
Stories Faqra,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO MEDIUM,691.0,188288.29,35069.13,18.63,153219.16,81.37
Stories Faqra,Take Away,COLD BAR SECTION,ICED CARAMEL MACCHIATO SMALL,341.0,79817.12,10975.38,13.75,68841.74,86.25
Stories Faqra,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC LARGE,3.0,900.0,183.07,20.34,716.93,79.66
Stories Faqra,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC MEDIUM,48.0,13059.46,2184.91,16.73,10874.54,83.27
Stories Faqra,Take Away,COLD BAR SECTION,ICED CLASSIC CHOC SMALL,23.0,5366.67,890.6,16.6,4476.07,83.4
Stories Faqra,Take Away,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT MEDIUM,2.0,533.33,141.0,26.44,392.33,73.56
Stories Faqra,Take Away,COLD BAR SECTION,ICED DOUBLE SHOT TOFFEE NUT SMALL,1.0,240.0,47.23,19.68,192.77,80.32
Stories Faqra,Take Away,COLD BAR SECTION,ICED LATTE LARGE,200.0,57225.23,9450.41,16.51,47774.81,83.49
Stories Faqra,Take Away,COLD BAR SECTION,ICED LATTE MEDIUM,1506.0,366552.25,61743.91,16.84,304808.34,83.16
Stories Faqra,Take Away,COLD BAR SECTION,ICED LATTE SMALL,734.0,141254.05,18093.0,12.81,123161.05,87.19
Stories Faqra,Take Away,COLD BAR SECTION,ICED MATCHA LATTE LARGE,113.0,33506.31,9051.14,27.01,24455.17,72.99
Stories Faqra,Take Away,COLD BAR SECTION,ICED MATCHA LATTE MEDIUM,651.0,162800.9,42013.66,25.81,120787.24,74.19
Stories Faqra,Take Away,COLD BAR SECTION,ICED MATCHA LATTE SMALL,296.0,63254.05,13535.23,21.4,49718.83,78.6
Stories Faqra,Take Away,COLD BAR SECTION,ICED MOCHA LARGE,18.0,6248.65,1134.16,18.15,5114.49,81.85
Stories Faqra,Take Away,COLD BAR SECTION,ICED MOCHA MEDIUM,162.0,45016.22,8556.22,19.01,36460.0,80.99
Stories Faqra,Take Away,COLD BAR SECTION,ICED MOCHA SMALL,82.0,20083.78,2667.31,13.28,17416.47,86.72
Stories Faqra,Take Away,COLD BAR SECTION,ICED PEACH TEA  MEDIUM,53.0,14414.41,2520.94,17.49,11893.47,82.51
Stories Faqra,Take Away,COLD BAR SECTION,ICED PEACH TEA  SMALL,40.0,5448.65,1416.98,26.01,4031.67,73.99
Stories Faqra,Take Away,COLD BAR SECTION,ICED PEACH TEA LARGE,20.0,6105.41,1225.14,20.07,4880.26,79.93
Stories Faqra,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE LARGE,11.0,3666.67,809.95,22.09,2856.72,77.91
Stories Faqra,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE MEDIUM,61.0,16266.67,3771.56,23.19,12495.11,76.81
Stories Faqra,Take Away,COLD BAR SECTION,ICED SALTED CARAMEL LATTE SMALL,22.0,3500.0,872.42,24.93,2627.58,75.07
Stories Faqra,Take Away,COLD BAR SECTION,ICED SPANISH LATTE MEDIUM,1052.0,317546.85,58629.96,18.46,258916.89,81.54
Stories Faqra,Take Away,COLD BAR SECTION,ICED SPANISH LATTE SMALL,609.0,162084.14,21453.49,13.24,140630.65,86.76
Stories Faqra,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE LARGE,2.0,666.67,155.71,23.36,510.96,76.64
Stories Faqra,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE MEDIUM,16.0,4266.67,1065.82,24.98,3200.85,75.02
Stories Faqra,Take Away,COLD BAR SECTION,ICED TOFFEE NUT LATTE SMALL,11.0,2566.67,498.04,19.4,2068.62,80.6
Stories Faqra,Take Away,COLD BAR SECTION,ICED WHITE MOCHA LARGE,322.0,98721.62,16684.94,16.9,82036.68,83.1
Stories Faqra,Take Away,COLD BAR SECTION,ICED WHITE MOCHA MEDIUM,1397.0,375387.39,62057.52,16.53,313329.87,83.47
Stories Faqra,Take Away,COLD BAR SECTION,ICED WHITE MOCHA SMALL,633.0,130404.5,17048.03,13.07,113356.47,86.93
Stories Faqra,Take Away,COLD BAR SECTION,MATCHA CREAM  FRAPP SMALL,52.0,12953.15,2697.0,20.82,10256.15,79.18
Stories Faqra,Take Away,COLD BAR SECTION,MATCHA CREAM FRAPP LARGE,20.0,6421.62,1510.08,23.52,4911.54,76.48
Stories Faqra,Take Away,COLD BAR SECTION,MATCHA CREAM FRAPP MEDIUM,112.0,31646.85,7677.53,24.26,23969.32,75.74
Stories Faqra,Take Away,COLD BAR SECTION,MOCHA FRAPP LARGE,32.0,10021.62,2409.8,24.05,7611.82,75.95
Stories Faqra,Take Away,COLD BAR SECTION,MOCHA FRAPP MEDIUM,190.0,53261.26,13871.05,26.04,39390.21,73.96
Stories Faqra,Take Away,COLD BAR SECTION,MOCHA FRAPP SMALL,102.0,24367.57,5885.42,24.15,18482.15,75.85
Stories Faqra,Take Away,COLD BAR SECTION,NO WHIPPED CREAM,11.0,0.0,-97.47,0.0,97.47,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE 1 SHOT YIRGACHEFFE,234.0,15600.0,439.8,2.82,15160.2,97.18
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE 2 SHOT YIRGACHEFFE,114.0,7600.0,428.53,5.64,7171.47,94.36
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE 3 SHOT YIRGACHEFFE,16.0,1066.67,90.22,8.46,976.45,91.54
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE ALMOND LARGE,48.0,6665.59,2685.0,40.28,3980.59,59.72
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE ALMOND MEDIUM,361.0,42959.28,15706.01,36.56,27253.27,63.44
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE ALMOND SMALL,196.0,19734.05,6090.97,30.87,13643.08,69.13
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE COCONUT LARGE,26.0,2403.6,1501.61,62.47,901.99,37.53
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE COCONUT MEDIUM,125.0,12408.65,5615.01,45.25,6793.64,54.75
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE COCONUT SMALL,103.0,9950.63,3304.83,33.21,6645.8,66.79
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE LARGE,31.0,0.0,520.22,0.0,-520.22,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE MEDIUM,710.0,0.0,9266.98,0.0,-9266.98,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE LACTOSE FREE SMALL,422.0,0.0,3934.27,0.0,-3934.27,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK LARGE,108.0,0.0,0.0,0.0,0.0,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK MEDIUM,1053.0,0.0,0.0,0.0,0.0,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SKIMMED MILK SMALL,541.0,0.0,0.0,0.0,0.0,100.0
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND LARGE,2.0,333.33,110.98,33.29,222.35,66.71
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND MEDIUM,30.0,4093.69,1109.8,27.11,2983.89,72.89
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE ALMOND SMALL,15.0,1570.27,462.42,29.45,1107.85,70.55
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT LARGE,2.0,333.33,100.69,30.21,232.65,69.79
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT MEDIUM,29.0,3866.67,973.31,25.17,2893.35,74.83
Stories Faqra,Take Away,COLD BAR SECTION,REPLACE SUGAR FREE OAT SMALL,26.0,2600.0,727.19,27.97,1872.81,72.03
Stories Faqra,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE LARGE,1.0,333.33,89.99,27.0,243.34,73.0
Stories Faqra,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE MEDIUM,7.0,2066.67,549.57,26.59,1517.09,73.41
Stories Faqra,Take Away,COLD BAR SECTION,SALTED CARAMEL CREAM FRAPPE SMALL,11.0,2886.67,688.87,23.86,2197.79,76.14
Stories Faqra,Take Away,COLD BAR SECTION,SALTED CARAMEL FRAPPE MEDIUM,34.0,10033.33,3271.87,32.61,6761.47,67.39
Stories Faqra,Take Away,COLD BAR SECTION,SALTED CARAMEL FRAPPE SMALL,12.0,3166.67,857.82,27.09,2308.84,72.91
Stories Faqra,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP LARGE,31.0,9405.41,2285.45,24.3,7119.95,75.7
Stories Faqra,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP MEDIUM,222.0,62183.78,15856.0,25.5,46327.78,74.5
Stories Faqra,Take Away,COLD BAR SECTION,STRAWBERRY CREAM FRAPP SMALL,152.0,36464.86,8139.58,22.32,28325.28,77.68
Stories Faqra,Take Away,COLD BAR SECTION,STRAWBERRY DRIZZLE TOPPING,70.0,2356.76,527.58,22.39,1829.18,77.61
Stories Faqra,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP LARGE,4.0,1333.33,298.96,22.42,1034.37,77.58
Stories Faqra,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP MEDIUM,3.0,880.0,202.35,22.99,677.65,77.01
Stories Faqra,Take Away,COLD BAR SECTION,TOFFEENUT CREAM  FRAP SMALL,3.0,786.67,150.73,19.16,635.94,80.84
Stories Faqra,Take Away,COLD BAR SECTION,TOFFEENUT FRAP MEDIUM,6.0,1760.0,449.53,25.54,1310.47,74.46
Stories Faqra,Take Away,COLD BAR SECTION,TOFFEENUT FRAP SMALL,3.0,780.0,178.72,22.91,601.28,77.09
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP LARGE,15.0,5237.84,912.17,17.42,4325.67,82.58
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP MEDIUM,91.0,26983.78,5324.47,19.73,21659.32,80.27
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA CREAM FRAPP SMALL,70.0,18477.48,3057.96,16.55,15419.51,83.45
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA FRAP SMALL,20.0,4666.67,1060.34,22.72,3606.33,77.28
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA FRAPP LARGE,7.0,2205.41,477.97,21.67,1727.43,78.33
Stories Faqra,Take Away,COLD BAR SECTION,VANILLA FRAPP MEDIUM,29.0,7827.03,1913.45,24.45,5913.58,75.55
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP LARGE,8.0,2505.41,475.54,18.98,2029.87,81.02
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP MEDIUM,25.0,6947.75,1428.53,20.56,5519.22,79.44
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA CREAM FRAPP SMALL,14.0,3361.26,598.81,17.82,2762.45,82.18
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP LARGE,18.0,5400.0,1204.42,22.3,4195.58,77.7
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP MEDIUM,95.0,25333.33,6138.08,24.23,19195.25,75.77
Stories Faqra,Take Away,COLD BAR SECTION,WHITE MOCHA FRAPP SMALL,53.0,11433.33,2761.52,24.15,8671.82,75.85
Stories Faqra,Take Away,COLD BAR SECTION,Total By Division:,28037.0,3994028.47,817969.41,20.48,3176059.06,79.52
Stories Faqra,Take Away,GRAB&GO BEVERAGES,APPLE JUICE,54.0,9000.0,3535.13,39.28,5464.87,60.72
Stories Faqra,Take Away,GRAB&GO BEVERAGES,LEMON JUICE,111.0,20211.71,8232.39,40.73,11979.32,59.27
Stories Faqra,Take Away,GRAB&GO BEVERAGES,MAWARDI JUICE,1.0,252.25,65.47,25.95,186.79,74.05
Stories Faqra,Take Away,GRAB&GO BEVERAGES,ORANGE JUICE,214.0,36094.59,14009.58,38.81,22085.01,61.19
Stories Faqra,Take Away,GRAB&GO BEVERAGES,POMEGRANATE JUICE,0.0,0.0,0.0,0.0,0.0,100.0
Stories Faqra,Take Away,GRAB&GO BEVERAGES,RIM SPARKLING WATER-250 ML,368.0,21698.02,7747.92,35.71,13950.1,64.29
Stories Faqra,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO CLEMENTINE 330ML/24,142.0,25292.79,6110.83,24.16,19181.97,75.84
Stories Faqra,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO GLASS 250ML/24,61.0,9536.94,2487.07,26.08,7049.87,73.92
Stories Faqra,Take Away,GRAB&GO BEVERAGES,SAN BENEDETTO LEMON 330ML/24,111.0,20468.47,4776.77,23.34,15691.7,76.66
Stories Faqra,Take Away,GRAB&GO BEVERAGES,WATER,9817.0,364781.98,44995.4,12.33,319786.57,87.67
Stories Faqra,Take Away,GRAB&GO BEVERAGES,Total By Division:,10879.0,507336.75,91960.55,18.13,415376.2,81.87
Stories Faqra,Take Away,HOT BAR SECTION,ADD ENGLISH BREAKFAST TEA BAG,1.0,63.06,17.63,27.95,45.43,72.05
Stories Faqra,Take Away,HOT BAR SECTION,ADD GREEN TEA BAG,1.0,81.08,17.63,21.74,63.45,78.26
Stories Faqra,Take Away,HOT BAR SECTION,AMERICAN COFFEE BEANS 250G,2.0,1066.67,477.33,44.75,589.33,55.25
Stories Faqra,Take Away,HOT BAR SECTION,AMERICANO LARGE,101.0,25367.03,5674.25,22.37,19692.78,77.63
Stories Faqra,Take Away,HOT BAR SECTION,AMERICANO MEDIUM,378.0,83856.76,17384.57,20.73,66472.19,79.27
Stories Faqra,Take Away,HOT BAR SECTION,AMERICANO SMALL,571.0,110974.77,19920.97,17.95,91053.81,82.05
Stories Faqra,Take Away,HOT BAR SECTION,BLACK COFFEE LARGE,21.0,5009.01,1637.29,32.69,3371.72,67.31
Stories Faqra,Take Away,HOT BAR SECTION,BLACK COFFEE MEDIUM,94.0,18994.59,6072.74,31.97,12921.85,68.03
Stories Faqra,Take Away,HOT BAR SECTION,BLACK COFFEE SMALL,154.0,24743.24,7972.08,32.22,16771.16,67.78
Stories Faqra,Take Away,HOT BAR SECTION,BOMBAY CHAI BLACK TEA MEDIUM,26.0,4333.33,1068.77,24.66,3264.57,75.34
Stories Faqra,Take Away,HOT BAR SECTION,CAPPUCCINO LARGE,36.0,9600.0,2400.93,25.01,7199.07,74.99
Stories Faqra,Take Away,HOT BAR SECTION,CAPPUCCINO MEDIUM,275.0,62925.77,12194.94,19.38,50730.82,80.62
Stories Faqra,Take Away,HOT BAR SECTION,CAPPUCCINO SMALL,392.0,77083.42,12341.81,16.01,64741.61,83.99
Stories Faqra,Take Away,HOT BAR SECTION,CARAMEL MACCHIATO LARGE,23.0,6900.0,1873.55,27.15,5026.45,72.85
Stories Faqra,Take Away,HOT BAR SECTION,CARAMEL MACHIATO MEDIUM,250.0,63623.06,15722.21,24.71,47900.85,75.29
Stories Faqra,Take Away,HOT BAR SECTION,CARAMEL MACHIATO SMALL,270.0,59515.77,11808.82,19.84,47706.94,80.16
Stories Faqra,Take Away,HOT BAR SECTION,CLASSIC HOT CHOC MEDIUM,18.0,4872.79,1167.28,23.96,3705.51,76.04
Stories Faqra,Take Away,HOT BAR SECTION,CLASSIC HOT CHOC SMALL,31.0,7042.34,1548.19,21.98,5494.15,78.02
Stories Faqra,Take Away,HOT BAR SECTION,DOUBLE ESPRESSO,613.0,112137.3,12864.94,11.47,99272.36,88.53
Stories Faqra,Take Away,HOT BAR SECTION,DOUBLE ESPRESSO MAC,12.0,2376.94,332.39,13.98,2044.54,86.02
Stories Faqra,Take Away,HOT BAR SECTION,DOUBLE LONGO,4.0,830.27,112.97,13.61,717.3,86.39
Stories Faqra,Take Away,HOT BAR SECTION,EARL GREY LAVENDER TEA MEDIUM,173.0,15756.76,6407.61,40.67,9349.15,59.33
Stories Faqra,Take Away,HOT BAR SECTION,ENGLISH BREAKFAST TEA MEDIUM,75.0,11261.26,2777.87,24.67,8483.4,75.33
Stories Faqra,Take Away,HOT BAR SECTION,ESPRESSO,376.0,62229.64,4435.17,7.13,57794.47,92.87
Stories Faqra,Take Away,HOT BAR SECTION,FLAT WHITE,522.0,58381.26,19307.98,33.07,39073.29,66.93
Stories Faqra,Take Away,HOT BAR SECTION,GOLDEN CHAMOMILE HERBAL TEA MEDIUM,80.0,12851.35,2963.06,23.06,9888.29,76.94
Stories Faqra,Take Away,HOT BAR SECTION,HOT DOUBLE SHOT LARGE,10.0,3333.33,941.6,28.25,2391.73,71.75
Stories Faqra,Take Away,HOT BAR SECTION,HOT DOUBLE SHOT MEDIUM,18.0,4800.0,1338.24,27.88,3461.76,72.12
Stories Faqra,Take Away,HOT BAR SECTION,HOT DOUBLE SHOT SMALL,31.0,5584.68,1672.91,29.96,3911.77,70.04
Stories Faqra,Take Away,HOT BAR SECTION,HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,900.0,277.82,30.87,622.18,69.13
Stories Faqra,Take Away,HOT BAR SECTION,HOT DOUBLE SHOT TOFFEE NUT SMALL,2.0,533.33,120.05,22.51,413.28,77.49
Stories Faqra,Take Away,HOT BAR SECTION,HOUSE BLEND BEANS 250G,2.0,1254.05,492.25,39.25,761.8,60.75
Stories Faqra,Take Away,HOT BAR SECTION,LATTE LARGE,111.0,29600.0,7402.86,25.01,22197.14,74.99
Stories Faqra,Take Away,HOT BAR SECTION,LATTE MEDIUM,860.0,195652.88,43909.66,22.44,151743.22,77.56
Stories Faqra,Take Away,HOT BAR SECTION,LATTE SMALL,1193.0,231477.48,41564.67,17.96,189912.81,82.04
Stories Faqra,Take Away,HOT BAR SECTION,MATCHA LATTE LARGE,19.0,5066.67,1814.72,35.82,3251.95,64.18
Stories Faqra,Take Away,HOT BAR SECTION,MATCHA LATTE MEDIUM,169.0,38508.38,13423.54,34.86,25084.84,65.14
Stories Faqra,Take Away,HOT BAR SECTION,MATCHA LATTE SMALL,90.0,16480.0,5648.8,34.28,10831.2,65.72
Stories Faqra,Take Away,HOT BAR SECTION,MEDITERRANEAN CARAMEL TEA MEDIUM,1.0,166.67,37.04,22.22,129.63,77.78
