Level,Name,Branch,Division,Group,Qty,Total Amount
Division,COFFEE PASTRY,Stories Sour 2,COFFEE PASTRY,COFFEE PASTRY,2759,816046.67
Group,CROISSANT,Stories Sour 2,CROISSANT,CROISSANT,1400,322706.67
Division,CROISSANT,Stories Sour 2,CROISSANT,CROISSANT,1400,322706.67
Group,COOKIES,Stories Sour 2,COOKIES,COOKIES,564,188000
Division,COOKIES,Stories Sour 2,COOKIES,COOKIES,564,188000
Group,FRENCH PASTRY,Stories Sour 2,FRENCH PASTRY,FRENCH PASTRY,1086,358731.53
Division,FRENCH PASTRY,Stories Sour 2,FRENCH PASTRY,FRENCH PASTRY,1086,358731.53
Group,COMBO TOPPINGS,Stories Sour 2,FROZEN YOGHURT,COMBO TOPPINGS,38554,0
Group,TOPPINGS,Stories Sour 2,FROZEN YOGHURT,TOPPINGS,2793,207146.67
Group,LUXURY TOPPINGS,Stories Sour 2,FROZEN YOGHURT,LUXURY TOPPINGS,2732,308498.56
Group,FROZEN YOGHURT,Stories Sour 2,FROZEN YOGHURT,FROZEN YOGHURT,12659.7,4512979.33
Division,FROZEN YOGHURT,Stories Sour 2,FROZEN YOGHURT,FROZEN YOGHURT,56738.7,5028624.56
Group,SUB SANDWICHES,Stories Sour 2,SANDWICHES,SUB SANDWICHES,1643,449526.67
Division,SANDWICHES,Stories Sour 2,SANDWICHES,SUB SANDWICHES,1643,449526.67
Group,CINNAMONS,Stories Sour 2,CINNAMON ROLLS,CINNAMONS,2111,660433.33
Division,CINNAMON ROLLS,Stories Sour 2,CINNAMON ROLLS,CINNAMONS,2111,660433.33
Group,NOT USED,Stories Sour 2,NOT USED,NOT USED,262,47743.96
Division,NOT USED,Stories Sour 2,NOT USED,NOT USED,262,47743.96
Group,ADD ONS,Stories Sour 2,SUBS,ADD ONS,228,29326.67
Division,SUBS,Stories Sour 2,SUBS,ADD ONS,228,29326.67
Group,POP UP BEVERAGE,Stories Sour 2,POP UP BEVERAGE,POP UP BEVERAGE,18,0
Division,POP UP BEVERAGE,Stories Sour 2,POP UP BEVERAGE,POP UP BEVERAGE,18,0
Group,OFFER,Stories Sour 2,OFFER,OFFER,18,7900
Division,OFFER,Stories Sour 2,OFFER,OFFER,18,7900
Group,PACKAGED FOOD,Stories Sour 2,GRAB&GO FOOD,PACKAGED FOOD,524,83786.67
Group,SALADS,Stories Sour 2,GRAB&GO FOOD,SALADS,136,69073.33
Group,FRUITS,Stories Sour 2,GRAB&GO FOOD,FRUITS,34,13373.33
Group,PACKAGED DESSERT,Stories Sour 2,GRAB&GO FOOD,PACKAGED DESSERT,237,96723.33
Division,GRAB&GO FOOD,Stories Sour 2,GRAB&GO FOOD,PACKAGED DESSERT,931,262956.67
Group,DONUTS,Stories Sour 2,DONUTS,DONUTS,67,13400
Division,DONUTS,Stories Sour 2,DONUTS,DONUTS,67,13400
Branch,Stories Sour 2,Stories Sour 2,DONUTS,DONUTS,139284.7,18937630.05
Group,BLACK COFFEE,Stories Event Starco,HOT BAR SECTION,BLACK COFFEE,436,73663.66
Group,MIXED HOT BEVERAGE,Stories Event Starco,HOT BAR SECTION,MIXED HOT BEVERAGE,807,187381.38
Division,HOT BAR SECTION,Stories Event Starco,HOT BAR SECTION,MIXED HOT BEVERAGE,1243,261045.05
Group,MIXED COLD BEVERAGES,Stories Event Starco,COLD BAR SECTION,MIXED COLD BEVERAGES,397,71669.67
Group,BLENDED BRINKS,Stories Event Starco,COLD BAR SECTION,BLENDED BRINKS,270,67117.12
Group,ADD SYRUP,Stories Event Starco,COLD BAR SECTION,ADD SYRUP,325,10036.04
Group,REPLACE,Stories Event Starco,COLD BAR SECTION,REPLACE,106,2702.7
Division,COLD BAR SECTION,Stories Event Starco,COLD BAR SECTION,REPLACE,1098,151525.53
Group,SOFT DRINKS,Stories Event Starco,GRAB&GO BEVERAGES,SOFT DRINKS,1008,54168.17
Division,GRAB&GO BEVERAGES,Stories Event Starco,GRAB&GO BEVERAGES,SOFT DRINKS,1008,54168.17
Group,COFFEE PASTRY,Stories Event Starco,COFFEE PASTRY,COFFEE PASTRY,89,21435.44
Division,COFFEE PASTRY,Stories Event Starco,COFFEE PASTRY,COFFEE PASTRY,89,21435.44
Group,FRENCH PASTRY,Stories Event Starco,FRENCH PASTRY,FRENCH PASTRY,30,8618.62
Division,FRENCH PASTRY,Stories Event Starco,FRENCH PASTRY,FRENCH PASTRY,30,8618.62
Group,COMBO TOPPINGS,Stories Event Starco,FROZEN YOGHURT,COMBO TOPPINGS,732,0
Group,TOPPINGS,Stories Event Starco,FROZEN YOGHURT,TOPPINGS,29,1873.87
Group,FROZEN YOGHURT,Stories Event Starco,FROZEN YOGHURT,FROZEN YOGHURT,236.5,85594.59
Division,FROZEN YOGHURT,Stories Event Starco,FROZEN YOGHURT,FROZEN YOGHURT,997.5,87468.47
Group,PACKAGED FOOD,Stories Event Starco,GRAB&GO FOOD,PACKAGED FOOD,18,2306.31
Group,PACKAGED DESSERT,Stories Event Starco,GRAB&GO FOOD,PACKAGED DESSERT,29,10744.74
Division,GRAB&GO FOOD,Stories Event Starco,GRAB&GO FOOD,PACKAGED DESSERT,47,13051.05
Branch,Stories Event Starco,Stories Event Starco,GRAB&GO FOOD,PACKAGED DESSERT,4512.5,597312.31
Group,BLACK COFFEE,Stories Zalka,HOT BAR SECTION,BLACK COFFEE,45503,8410292.71
Group,MIXED HOT BEVERAGE,Stories Zalka,HOT BAR SECTION,MIXED HOT BEVERAGE,60038.5,13541027.91
Group,TEA,Stories Zalka,HOT BAR SECTION,TEA,8864,1447909
Group,BEANS,Stories Zalka,HOT BAR SECTION,BEANS,117,61714.11
Division,HOT BAR SECTION,Stories Zalka,HOT BAR SECTION,BEANS,114522.5,23460943.73
Group,MIXED COLD BEVERAGES,Stories Zalka,COLD BAR SECTION,MIXED COLD BEVERAGES,59551,14057139.71
Group,BLENDED BRINKS,Stories Zalka,COLD BAR SECTION,BLENDED BRINKS,26538,6505316.48
Group,ICE TEA,Stories Zalka,COLD BAR SECTION,ICE TEA,3542,538157.66
Group,ADD SYRUP,Stories Zalka,COLD BAR SECTION,ADD SYRUP,59911,1795612.06
Group,REPLACE,Stories Zalka,COLD BAR SECTION,REPLACE,30084,996411.42
Division,COLD BAR SECTION,Stories Zalka,COLD BAR SECTION,REPLACE,179626,23892637.32
Group,SOFT DRINKS,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS,119251,6459879.57
Division,GRAB&GO BEVERAGES,Stories Zalka,GRAB&GO BEVERAGES,SOFT DRINKS,119251,6459879.57
Group,COFFEE PASTRY,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY,10168,2671555.87
Division,COFFEE PASTRY,Stories Zalka,COFFEE PASTRY,COFFEE PASTRY,10168,2671555.87
Group,CROISSANT,Stories Zalka,CROISSANT,CROISSANT,6836,1386622.23
Division,CROISSANT,Stories Zalka,CROISSANT,CROISSANT,6836,1386622.23
Group,COOKIES,Stories Zalka,COOKIES,COOKIES,839,264567.57
Division,COOKIES,Stories Zalka,COOKIES,COOKIES,839,264567.57
Group,FRENCH PASTRY,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY,5549,1550102.41
Division,FRENCH PASTRY,Stories Zalka,FRENCH PASTRY,FRENCH PASTRY,5549,1550102.41
Group,COMBO TOPPINGS,Stories Zalka,FROZEN YOGHURT,COMBO TOPPINGS,224987,0
Group,TOPPINGS,Stories Zalka,FROZEN YOGHURT,TOPPINGS,8315.5,557887.69
Group,LUXURY TOPPINGS,Stories Zalka,FROZEN YOGHURT,LUXURY TOPPINGS,11292,1134914.41
Group,FROZEN YOGHURT,Stories Zalka,FROZEN YOGHURT,FROZEN YOGHURT,65717.45,22311470.2
Group,SPECIALTY YOGHURT,Stories Zalka,FROZEN YOGHURT,SPECIALTY YOGHURT,112.5,28166.67
Division,FROZEN YOGHURT,Stories Zalka,FROZEN YOGHURT,SPECIALTY YOGHURT,310424.45,24032438.96
Group,SALADS BAR,Stories Zalka,SALADS BAR,SALADS BAR,1618,1166126.12
Division,SALADS BAR,Stories Zalka,SALADS BAR,SALADS BAR,1618,1166126.12
Group,PLAT DU JOUR,Stories Zalka,PLAT DE JOUR,PLAT DU JOUR,150,94594.6
Division,PLAT DE JOUR,Stories Zalka,PLAT DE JOUR,PLAT DU JOUR,150,94594.6
Group,SUB SANDWICHES,Stories Zalka,SANDWICHES,SUB SANDWICHES,25182,7608272.69
Division,SANDWICHES,Stories Zalka,SANDWICHES,SUB SANDWICHES,25182,7608272.69
Group,CINNAMONS,Stories Zalka,CINNAMON ROLLS,CINNAMONS,10015,2985493.7
Division,CINNAMON ROLLS,Stories Zalka,CINNAMON ROLLS,CINNAMONS,10015,2985493.7
Group,NOT USED,Stories Zalka,NOT USED,NOT USED,7544,2002916.67
Division,NOT USED,Stories Zalka,NOT USED,NOT USED,7544,2002916.67
Group,ADD ONS,Stories Zalka,SUBS,ADD ONS,2357,265310.51
Division,SUBS,Stories Zalka,SUBS,ADD ONS,2357,265310.51
Group,POP UP BEVERAGE,Stories Zalka,POP UP BEVERAGE,POP UP BEVERAGE,9,0
Division,POP UP BEVERAGE,Stories Zalka,POP UP BEVERAGE,POP UP BEVERAGE,9,0
Group,OFFER,Stories Zalka,OFFER,OFFER,9,3693.69
Division,OFFER,Stories Zalka,OFFER,OFFER,9,3693.69
Group,PACKAGED FOOD,Stories Zalka,GRAB&GO FOOD,PACKAGED FOOD,4324,587066.67
Group,SALADS,Stories Zalka,GRAB&GO FOOD,SALADS,2174,999297.3
Group,FRUITS,Stories Zalka,GRAB&GO FOOD,FRUITS,2106,614020
Group,PACKAGED DESSERT,Stories Zalka,GRAB&GO FOOD,PACKAGED DESSERT,893,325600.6
Division,GRAB&GO FOOD,Stories Zalka,GRAB&GO FOOD,PACKAGED DESSERT,9497,2525984.56
Group,DONUTS,Stories Zalka,DONUTS,DONUTS,2055,411000
Division,DONUTS,Stories Zalka,DONUTS,DONUTS,2055,411000
Branch,Stories Zalka,Stories Zalka,DONUTS,DONUTS,805651.95,100782140.2
Group,BLACK COFFEE,Stories Antelias,HOT BAR SECTION,BLACK COFFEE,9945.5,1874779.52
Group,MIXED HOT BEVERAGE,Stories Antelias,HOT BAR SECTION,MIXED HOT BEVERAGE,17994,4162688.7
Group,TEA,Stories Antelias,HOT BAR SECTION,TEA,2267,255680.18
Group,BEANS,Stories Antelias,HOT BAR SECTION,BEANS,35.5,19286.49
Division,HOT BAR SECTION,Stories Antelias,HOT BAR SECTION,BEANS,30242,6312434.89
Group,MIXED COLD BEVERAGES,Stories Antelias,COLD BAR SECTION,MIXED COLD BEVERAGES,18264,4391110.75
Group,BLENDED BRINKS,Stories Antelias,COLD BAR SECTION,BLENDED BRINKS,7230,1840198.72
Group,ICE TEA,Stories Antelias,COLD BAR SECTION,ICE TEA,442,72897.9
Group,ADD SYRUP,Stories Antelias,COLD BAR SECTION,ADD SYRUP,16975,508398.93
Group,REPLACE,Stories Antelias,COLD BAR SECTION,REPLACE,15318,452911
Division,COLD BAR SECTION,Stories Antelias,COLD BAR SECTION,REPLACE,58229,7265517.29
Group,SOFT DRINKS,Stories Antelias,GRAB&GO BEVERAGES,SOFT DRINKS,13374,737383.13
Division,GRAB&GO BEVERAGES,Stories Antelias,GRAB&GO BEVERAGES,SOFT DRINKS,13374,737383.13
Group,COFFEE PASTRY,Stories Antelias,COFFEE PASTRY,COFFEE PASTRY,4334,1131097.3
Division,COFFEE PASTRY,Stories Antelias,COFFEE PASTRY,COFFEE PASTRY,4334,1131097.3
Group,CROISSANT,Stories Antelias,CROISSANT,CROISSANT,3016,634341.38
Division,CROISSANT,Stories Antelias,CROISSANT,CROISSANT,3016,634341.38
Group,COOKIES,Stories Antelias,COOKIES,COOKIES,503,160432.43
Division,COOKIES,Stories Antelias,COOKIES,COOKIES,503,160432.43
Group,FRENCH PASTRY,Stories Antelias,FRENCH PASTRY,FRENCH PASTRY,2021,561103.67
Division,FRENCH PASTRY,Stories Antelias,FRENCH PASTRY,FRENCH PASTRY,2021,561103.67
Group,COMBO TOPPINGS,Stories Antelias,FROZEN YOGHURT,COMBO TOPPINGS,78615,0
Group,TOPPINGS,Stories Antelias,FROZEN YOGHURT,TOPPINGS,2541,179807.09
Group,LUXURY TOPPINGS,Stories Antelias,FROZEN YOGHURT,LUXURY TOPPINGS,4157,435906.27
Group,FROZEN YOGHURT,Stories Antelias,FROZEN YOGHURT,FROZEN YOGHURT,27344,8360295.53
Division,FROZEN YOGHURT,Stories Antelias,FROZEN YOGHURT,FROZEN YOGHURT,112657,8976008.89
Group,SUB SANDWICHES,Stories Antelias,SANDWICHES,SUB SANDWICHES,5153,1457070.66
Division,SANDWICHES,Stories Antelias,SANDWICHES,SUB SANDWICHES,5153,1457070.66
Group,CINNAMONS,Stories Antelias,CINNAMON ROLLS,CINNAMONS,2741,714597
Division,CINNAMON ROLLS,Stories Antelias,CINNAMON ROLLS,CINNAMONS,2741,714597
Group,PACKAGING,Stories Antelias,CARTON,PACKAGING,5838,0
Division,CARTON,Stories Antelias,CARTON,PACKAGING,5838,0
Group,NOT USED,Stories Antelias,NOT USED,NOT USED,998.5,103101.56
Division,NOT USED,Stories Antelias,NOT USED,NOT USED,998.5,103101.56
Group,ADD ONS,Stories Antelias,SUBS,ADD ONS,167.5,17946.52
Division,SUBS,Stories Antelias,SUBS,ADD ONS,167.5,17946.52
Group,POP UP BEVERAGE,Stories Antelias,POP UP BEVERAGE,POP UP BEVERAGE,5,0
Division,POP UP BEVERAGE,Stories Antelias,POP UP BEVERAGE,POP UP BEVERAGE,5,0
Group,OFFER,Stories Antelias,OFFER,OFFER,5,1891.89
Division,OFFER,Stories Antelias,OFFER,OFFER,5,1891.89
Group,PACKAGED FOOD,Stories Antelias,GRAB&GO FOOD,PACKAGED FOOD,865,137577.54
Group,SALADS,Stories Antelias,GRAB&GO FOOD,SALADS,499,234593.21
Group,FRUITS,Stories Antelias,GRAB&GO FOOD,FRUITS,395,145558.11
Group,PACKAGED DESSERT,Stories Antelias,GRAB&GO FOOD,PACKAGED DESSERT,170,63753.75
Division,GRAB&GO FOOD,Stories Antelias,GRAB&GO FOOD,PACKAGED DESSERT,1929,581482.61
Group,DONUTS,Stories Antelias,DONUTS,DONUTS,647,134480
Division,DONUTS,Stories Antelias,DONUTS,DONUTS,647,134480
Group,HEALTHY SECTION,Stories Antelias,HEALTHY SECTION,HEALTHY SECTION,0,0
Division,HEALTHY SECTION,Stories Antelias,HEALTHY SECTION,HEALTHY SECTION,0,0
Branch,Stories Antelias,Stories Antelias,HEALTHY SECTION,HEALTHY SECTION,241860,28788889.23
Group,BLACK COFFEE,Stories Verdun,HOT BAR SECTION,BLACK COFFEE,4133,716811.99
Group,MIXED HOT BEVERAGE,Stories Verdun,HOT BAR SECTION,MIXED HOT BEVERAGE,15966.8,3844495.84
Group,TEA,Stories Verdun,HOT BAR SECTION,TEA,377,27433.93
Group,BEANS,Stories Verdun,HOT BAR SECTION,BEANS,20,9926.73
Division,HOT BAR SECTION,Stories Verdun,HOT BAR SECTION,BEANS,20496.8,4598668.5
Group,MIXED COLD BEVERAGES,Stories Verdun,COLD BAR SECTION,MIXED COLD BEVERAGES,16290.92,4012610.04
Group,BLENDED BRINKS,Stories Verdun,COLD BAR SECTION,BLENDED BRINKS,11287,2949468.17
Group,ICE TEA,Stories Verdun,COLD BAR SECTION,ICE TEA,261,40314.11
Group,ADD SYRUP,Stories Verdun,COLD BAR SECTION,ADD SYRUP,20557.7,680433.72
Group,REPLACE,Stories Verdun,COLD BAR SECTION,REPLACE,14134.5,379315.41
Division,COLD BAR SECTION,Stories Verdun,COLD BAR SECTION,REPLACE,62531.12,8062141.45
Group,SOFT DRINKS,Stories Verdun,GRAB&GO BEVERAGES,SOFT DRINKS,6914,349788.2
Division,GRAB&GO BEVERAGES,Stories Verdun,GRAB&GO BEVERAGES,SOFT DRINKS,6914,349788.2
Group,COFFEE PASTRY,Stories Verdun,COFFEE PASTRY,COFFEE PASTRY,2530,593534.63
Division,COFFEE PASTRY,Stories Verdun,COFFEE PASTRY,COFFEE PASTRY,2530,593534.63
Group,CROISSANT,Stories Verdun,CROISSANT,CROISSANT,1894,408538.02
Division,CROISSANT,Stories Verdun,CROISSANT,CROISSANT,1894,408538.02
Group,COOKIES,Stories Verdun,COOKIES,COOKIES,464,152625.83
Division,COOKIES,Stories Verdun,COOKIES,COOKIES,464,152625.83
Group,FRENCH PASTRY,Stories Verdun,FRENCH PASTRY,FRENCH PASTRY,338,110385.41
Division,FRENCH PASTRY,Stories Verdun,FRENCH PASTRY,FRENCH PASTRY,338,110385.41
Group,COMBO TOPPINGS,Stories Verdun,FROZEN YOGHURT,COMBO TOPPINGS,60381,0
Group,TOPPINGS,Stories Verdun,FROZEN YOGHURT,TOPPINGS,3853,277828.77
Group,LUXURY TOPPINGS,Stories Verdun,FROZEN YOGHURT,LUXURY TOPPINGS,2850,310002.13
Group,FROZEN YOGHURT,Stories Verdun,FROZEN YOGHURT,FROZEN YOGHURT,18898.7,6528235.98
Group,SPECIALTY YOGHURT,Stories Verdun,FROZEN YOGHURT,SPECIALTY YOGHURT,14.5,833.33
Division,FROZEN YOGHURT,Stories Verdun,FROZEN YOGHURT,SPECIALTY YOGHURT,85997.2,7116900.21
Group,CINNAMONS,Stories Verdun,CINNAMON ROLLS,CINNAMONS,2532,684125.89
Division,CINNAMON ROLLS,Stories Verdun,CINNAMON ROLLS,CINNAMONS,2532,684125.89
Group,PACKAGING,Stories Verdun,CARTON,PACKAGING,7891,0
Division,CARTON,Stories Verdun,CARTON,PACKAGING,7891,0
Group,NOT USED,Stories Verdun,NOT USED,NOT USED,476.5,83956.67
Division,NOT USED,Stories Verdun,NOT USED,NOT USED,476.5,83956.67
Group,POP UP BEVERAGE,Stories Verdun,POP UP BEVERAGE,POP UP BEVERAGE,3,0
Division,POP UP BEVERAGE,Stories Verdun,POP UP BEVERAGE,POP UP BEVERAGE,3,0
Group,OFFER,Stories Verdun,OFFER,OFFER,3,1171.17
Division,OFFER,Stories Verdun,OFFER,OFFER,3,1171.17
Group,PACKAGED FOOD,Stories Verdun,GRAB&GO FOOD,PACKAGED FOOD,375,69486.01
Group,PACKAGED DESSERT,Stories Verdun,GRAB&GO FOOD,PACKAGED DESSERT,42,15765.77
Division,GRAB&GO FOOD,Stories Verdun,GRAB&GO FOOD,PACKAGED DESSERT,417,85251.77
Group,DONUTS,Stories Verdun,DONUTS,DONUTS,515,106600
Division,DONUTS,Stories Verdun,DONUTS,DONUTS,515,106600
Branch,Stories Verdun,Stories Verdun,DONUTS,DONUTS,193002.62,22353687.74
Group,BLACK COFFEE,Stories Khaldeh,HOT BAR SECTION,BLACK COFFEE,21210,3738227.54
Group,MIXED HOT BEVERAGE,Stories Khaldeh,HOT BAR SECTION,MIXED HOT BEVERAGE,58631,13522435.01
Group,TEA,Stories Khaldeh,HOT BAR SECTION,TEA,1888,259091.29
Group,BEANS,Stories Khaldeh,HOT BAR SECTION,BEANS,176,96804.8
Division,HOT BAR SECTION,Stories Khaldeh,HOT BAR SECTION,BEANS,81905,17616558.65
Group,MIXED COLD BEVERAGES,Stories Khaldeh,COLD BAR SECTION,MIXED COLD BEVERAGES,53129,12682016.58
Group,BLENDED BRINKS,Stories Khaldeh,COLD BAR SECTION,BLENDED BRINKS,40849,10311415.06
Group,ICE TEA,Stories Khaldeh,COLD BAR SECTION,ICE TEA,1916,355662.16
Group,ADD SYRUP,Stories Khaldeh,COLD BAR SECTION,ADD SYRUP,62508,2016999.23
Group,REPLACE,Stories Khaldeh,COLD BAR SECTION,REPLACE,30729,731543.43
Division,COLD BAR SECTION,Stories Khaldeh,COLD BAR SECTION,REPLACE,189131,26097636.46
Group,SOFT DRINKS,Stories Khaldeh,GRAB&GO BEVERAGES,SOFT DRINKS,41954,2168297.74
Division,GRAB&GO BEVERAGES,Stories Khaldeh,GRAB&GO BEVERAGES,SOFT DRINKS,41954,2168297.74
Group,COFFEE PASTRY,Stories Khaldeh,COFFEE PASTRY,COFFEE PASTRY,13252,3410708.87
Division,COFFEE PASTRY,Stories Khaldeh,COFFEE PASTRY,COFFEE PASTRY,13252,3410708.87
Group,CROISSANT,Stories Khaldeh,CROISSANT,CROISSANT,4253,879868.71
Division,CROISSANT,Stories Khaldeh,CROISSANT,CROISSANT,4253,879868.71
Group,COOKIES,Stories Khaldeh,COOKIES,COOKIES,2489,769611.11
Division,COOKIES,Stories Khaldeh,COOKIES,COOKIES,2489,769611.11
Group,FRENCH PASTRY,Stories Khaldeh,FRENCH PASTRY,FRENCH PASTRY,6444,1793823.19
Division,FRENCH PASTRY,Stories Khaldeh,FRENCH PASTRY,FRENCH PASTRY,6444,1793823.19
Group,COMBO TOPPINGS,Stories Khaldeh,FROZEN YOGHURT,COMBO TOPPINGS,131985,0
Group,TOPPINGS,Stories Khaldeh,FROZEN YOGHURT,TOPPINGS,6465,434883.73
Group,LUXURY TOPPINGS,Stories Khaldeh,FROZEN YOGHURT,LUXURY TOPPINGS,7326,748685.07
Group,FROZEN YOGHURT,Stories Khaldeh,FROZEN YOGHURT,FROZEN YOGHURT,43580.95,13379604.69
Group,SPECIALTY YOGHURT,Stories Khaldeh,FROZEN YOGHURT,SPECIALTY YOGHURT,168,30866.67
Division,FROZEN YOGHURT,Stories Khaldeh,FROZEN YOGHURT,SPECIALTY YOGHURT,189524.95,14594040.16
Group,SUB SANDWICHES,Stories Khaldeh,SANDWICHES,SUB SANDWICHES,13918,3856891.57
Division,SANDWICHES,Stories Khaldeh,SANDWICHES,SUB SANDWICHES,13918,3856891.57
Group,CINNAMONS,Stories Khaldeh,CINNAMON ROLLS,CINNAMONS,9527,2924227.34
Division,CINNAMON ROLLS,Stories Khaldeh,CINNAMON ROLLS,CINNAMONS,9527,2924227.34
Group,PACKAGING,Stories Khaldeh,CARTON,PACKAGING,4569,0
Division,CARTON,Stories Khaldeh,CARTON,PACKAGING,4569,0
Group,NOT USED,Stories Khaldeh,NOT USED,NOT USED,6024.7,1208746.73
Division,NOT USED,Stories Khaldeh,NOT USED,NOT USED,6024.7,1208746.73
Group,ADD ONS,Stories Khaldeh,SUBS,ADD ONS,1441,167148.89
Division,SUBS,Stories Khaldeh,SUBS,ADD ONS,1441,167148.89
Group,POP UP BEVERAGE,Stories Khaldeh,POP UP BEVERAGE,POP UP BEVERAGE,13,0
Division,POP UP BEVERAGE,Stories Khaldeh,POP UP BEVERAGE,POP UP BEVERAGE,13,0
Group,OFFER,Stories Khaldeh,OFFER,OFFER,13,5165.17
Division,OFFER,Stories Khaldeh,OFFER,OFFER,13,5165.17
Group,PACKAGED FOOD,Stories Khaldeh,GRAB&GO FOOD,PACKAGED FOOD,2492,347405.95
Group,SALADS,Stories Khaldeh,GRAB&GO FOOD,SALADS,1365,632202.22
Group,FRUITS,Stories Khaldeh,GRAB&GO FOOD,FRUITS,686,222732.88
Group,PACKAGED DESSERT,Stories Khaldeh,GRAB&GO FOOD,PACKAGED DESSERT,348,127483.48
Division,GRAB&GO FOOD,Stories Khaldeh,GRAB&GO FOOD,PACKAGED DESSERT,4891,1329824.53
Group,DONUTS,Stories Khaldeh,DONUTS,DONUTS,1223,248920
Division,DONUTS,Stories Khaldeh,DONUTS,DONUTS,1223,248920
Group,HEALTHY SECTION,Stories Khaldeh,HEALTHY SECTION,HEALTHY SECTION,17,4054.05
Division,HEALTHY SECTION,Stories Khaldeh,HEALTHY SECTION,HEALTHY SECTION,17,4054.05
Branch,Stories Khaldeh,Stories Khaldeh,HEALTHY SECTION,HEALTHY SECTION,570589.65,77075523.17
Group,BLACK COFFEE,Stories Bayada,HOT BAR SECTION,BLACK COFFEE,25333,4588627.54
Group,MIXED HOT BEVERAGE,Stories Bayada,HOT BAR SECTION,MIXED HOT BEVERAGE,29679,6178857.33
Group,TEA,Stories Bayada,HOT BAR SECTION,TEA,5610,869212.61
Group,BEANS,Stories Bayada,HOT BAR SECTION,BEANS,90,48977.78
Division,HOT BAR SECTION,Stories Bayada,HOT BAR SECTION,BEANS,60712,11685675.26
Group,MIXED COLD BEVERAGES,Stories Bayada,COLD BAR SECTION,MIXED COLD BEVERAGES,31701,7392982.38
Group,BLENDED BRINKS,Stories Bayada,COLD BAR SECTION,BLENDED BRINKS,14265,3432346.05
Group,ICE TEA,Stories Bayada,COLD BAR SECTION,ICE TEA,1048,217916.52
Group,ADD SYRUP,Stories Bayada,COLD BAR SECTION,ADD SYRUP,26995,669298.52
Group,REPLACE,Stories Bayada,COLD BAR SECTION,REPLACE,18593,751323.7
Division,COLD BAR SECTION,Stories Bayada,COLD BAR SECTION,REPLACE,92602,12463867.17
Group,SOFT DRINKS,Stories Bayada,GRAB&GO BEVERAGES,SOFT DRINKS,52785,2784552.3
Division,GRAB&GO BEVERAGES,Stories Bayada,GRAB&GO BEVERAGES,SOFT DRINKS,52785,2784552.3
Group,COFFEE PASTRY,Stories Bayada,COFFEE PASTRY,COFFEE PASTRY,5557,1471117.96
Division,COFFEE PASTRY,Stories Bayada,COFFEE PASTRY,COFFEE PASTRY,5557,1471117.96
Group,CROISSANT,Stories Bayada,CROISSANT,CROISSANT,6036,1220226.49
Division,CROISSANT,Stories Bayada,CROISSANT,CROISSANT,6036,1220226.49
Group,COOKIES,Stories Bayada,COOKIES,COOKIES,1128,355954.95
Division,COOKIES,Stories Bayada,COOKIES,COOKIES,1128,355954.95
Group,FRENCH PASTRY,Stories Bayada,FRENCH PASTRY,FRENCH PASTRY,3017,858977.9
Division,FRENCH PASTRY,Stories Bayada,FRENCH PASTRY,FRENCH PASTRY,3017,858977.9
Group,COMBO TOPPINGS,Stories Bayada,FROZEN YOGHURT,COMBO TOPPINGS,100572.5,0
Group,TOPPINGS,Stories Bayada,FROZEN YOGHURT,TOPPINGS,4326,293064.45
Group,LUXURY TOPPINGS,Stories Bayada,FROZEN YOGHURT,LUXURY TOPPINGS,5721,578905.46
Group,FROZEN YOGHURT,Stories Bayada,FROZEN YOGHURT,FROZEN YOGHURT,59506.5,10564110.55
Group,SPECIALTY YOGHURT,Stories Bayada,FROZEN YOGHURT,SPECIALTY YOGHURT,1143,31643.84
Division,FROZEN YOGHURT,Stories Bayada,FROZEN YOGHURT,SPECIALTY YOGHURT,171269,11467724.3
Group,SALADS BAR,Stories Bayada,SALADS BAR,SALADS BAR,1127,857837.84
Division,SALADS BAR,Stories Bayada,SALADS BAR,SALADS BAR,1127,857837.84
Group,SUB SANDWICHES,Stories Bayada,SANDWICHES,SUB SANDWICHES,9554,2475250.82
Division,SANDWICHES,Stories Bayada,SANDWICHES,SUB SANDWICHES,9554,2475250.82
Group,CINNAMONS,Stories Bayada,CINNAMON ROLLS,CINNAMONS,4972,1459129.73
Division,CINNAMON ROLLS,Stories Bayada,CINNAMON ROLLS,CINNAMONS,4972,1459129.73
Group,NOT USED,Stories Bayada,NOT USED,NOT USED,3265.5,809435.71
Division,NOT USED,Stories Bayada,NOT USED,NOT USED,3265.5,809435.71
Group,ADD ONS,Stories Bayada,SUBS,ADD ONS,636,70687.99
Division,SUBS,Stories Bayada,SUBS,ADD ONS,636,70687.99
Group,POP UP BEVERAGE,Stories Bayada,POP UP BEVERAGE,POP UP BEVERAGE,5,0
Division,POP UP BEVERAGE,Stories Bayada,POP UP BEVERAGE,POP UP BEVERAGE,5,0
Group,OFFER,Stories Bayada,OFFER,OFFER,5,2132.13
Division,OFFER,Stories Bayada,OFFER,OFFER,5,2132.13
Group,PACKAGED FOOD,Stories Bayada,GRAB&GO FOOD,PACKAGED FOOD,2155,291161.68
Group,FRUITS,Stories Bayada,GRAB&GO FOOD,FRUITS,1229,364972.88
